
Accelx,Accely,Accelz,Swing
-0.112,0.011,0.941,1
-0.093,0.004,0.95,1
-0.082,0.02,0.967,1
-0.115,0.01,0.994,1
-0.09,0.02,0.986,1
-0.103,0.017,0.929,1
-0.116,0.017,0.924,1
-0.093,0.023,0.962,1
-0.1,0.018,0.94,1
-0.106,0.005,0.953,1
-0.11,0.011,0.932,1
-0.087,0.011,0.957,1
-0.081,0.013,0.951,1
-0.096,0.01,0.959,1
-0.086,0.019,0.934,1
-0.102,0.012,0.938,1
-0.093,0.01,0.958,1
-0.123,0.018,0.976,1
-0.089,0.014,0.953,1
-0.119,0.022,0.887,1
-0.077,0.015,0.968,1
-0.109,0.011,0.92,1
-0.098,0.012,0.955,1
-0.101,0.008,0.933,1
-0.096,0.015,0.986,1
-0.08,0.015,0.962,1
-0.095,0.012,0.969,1
-0.088,0.015,0.967,1
-0.112,0.016,0.969,1
-0.108,0.017,0.957,1
-0.103,0.007,0.94,1
-0.09,0.014,0.963,1
-0.083,0.017,0.995,1
-0.113,0.013,0.969,1
-0.104,0.027,0.96,1
-0.096,0.012,0.941,1
-0.109,0.021,0.963,1
-0.099,0.019,0.965,1
-0.103,0.007,0.954,1
-0.085,0.012,0.966,1
-0.088,0.001,0.943,0
-0.086,0.023,0.978,0
-0.08,0.019,0.965,0
-0.081,0.02,0.962,0
-0.085,0.011,0.975,0
-0.102,0.02,0.983,0
-0.097,0.008,0.951,0
-0.112,0.025,0.936,0
-0.088,0.008,0.965,0
-0.093,0.019,0.972,0
-0.093,0.007,0.927,0
-0.098,0.013,0.953,0
-0.099,0.015,0.977,0
-0.09,0.025,0.972,0
-0.103,0.012,0.988,0
-0.098,0.013,0.975,0
-0.13,0.019,0.989,0
-0.09,0.015,0.975,0
-0.102,0.009,0.955,0
-0.098,0.016,0.971,0
-0.087,0.015,0.985,0
-0.09,0.02,0.959,1
-0.085,0.022,1.004,1
-0.097,0.018,0.969,1
-0.107,0.023,0.955,1
-0.095,0.009,0.965,1
-0.098,0.016,0.967,1
-0.089,0.013,0.951,1
-0.114,0.015,0.967,1
-0.102,0.011,0.968,1
-0.096,0.003,0.949,1
-0.098,0.018,0.964,1
-0.09,0.015,0.961,1
